login_id,registration_date_id,registration_channel,registration_country,payer,dau,sessions_count,playtime,last_login_day,days_active_last_7_days,cohort_size,elo_rating,arena_level,gold,runes_stash_class1_tier1,runes_stash_class2_tier1,runes_stash_class3_tier1,runes_stash_tier2,spell_runes_stash,hero_dust,item_dust,gold_gained_total,gold_bought_total,gold_spent_total,runes_gained_total_class1_tier1,runes_gained_total_class2_tier1,runes_gained_total_class3_tier1,runes_gained_total_tier_2,spell_runes_gained_total,runes_spent_class1_tier1,runes_spent_class2_tier1,runes_spent_class3_tier1,runes_spent_total_tier2,spell_runes_spent_total,hero_dust_spent_total,hero_dust_gained_total,tokens,tokens_gained_total,enter_queue_count,battles_played,battles_won,battles_played_total,battles_won_total,heroes_unlocked,heroes_level,hero_shards,minion_upgrades,free_chests_opened_total,silver_chests_opened_total,golden_chests_opened_total,magical_chests_opened_total,victory_chests_opened_total,pvp_event_small_chest_small,pvp_event_small_chest_medium,pvp_event_small_chest_large,pvp_event_big_chest_small,pvp_event_big_chest_medium,pvp_event_big_chest_large,cards_gained_total,minion_cards_gained_common_total,minion_cards_gained_rare_total,minion_cards_gained_epic_total,minion_cards_gained_legendary_total,spell_cards_gained_common_total,spell_cards_gained_rare_total,spell_cards_gained_epic_total,spell_cards_gained_legendary_total,campaign_tickets,max_campaign_level,equipment_bonus,campaign_battles,campaign_battles_total,event_battles,event_battles_total,event_tokens,group_points,lives_spent,milestone_points,date_id,group,allowed_notifications,date_id_notif,notif_exposed,allowed,retained_d1,retained_d7,retained_d14
11,0,Paid,United States,False,1,4,1561,0,1,1,0,0,282,1,0,1,2,2,5,10,182,0,0,13,14,9,2,2,12,14,8,0,0,0,5,90,90,4,4,4,4,4,1,1,3,8,3,0,0,0,0,0,0,0,0,0,0,9,6,2,0,0,0,1,0,0,3,0,0.0,2,2,0,0,15,0,0,0,0,group2_odd,True,1.0,True,1,True,False,False
12,0,Organic,Germany,False,1,1,387,0,1,1,0,0,147,17,1,0,0,1,0,10,47,0,0,17,1,0,0,1,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,0,0.0,0,0,0,0,5,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
13,0,Organic,Brazil,False,1,1,595,0,1,1,0,0,147,0,3,1,0,1,0,10,47,0,0,0,17,1,0,1,0,14,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0.0,2,2,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
14,0,Organic,Germany,False,1,2,820,0,1,1,0,0,208,3,2,4,0,2,0,10,108,0,0,7,6,18,0,2,4,4,14,0,0,0,0,90,90,3,3,3,3,3,1,1,2,5,1,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,1,0,0,2,0,0.0,2,2,0,0,15,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
15,0,Paid,Germany,False,1,1,84,0,1,1,10,0,100,0,15,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0.0,0,0,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
16,0,Organic,United States,False,1,1,208,0,1,1,0,0,103,15,0,0,0,0,0,10,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0.0,1,1,0,0,5,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
17,0,Organic,United Kingdom,False,1,4,4645,0,1,1,100,1,402,4,1,2,1,3,0,4010,302,0,0,42,31,20,1,3,38,30,18,0,0,0,0,90,90,12,11,11,11,11,1,1,4,16,2,1,0,0,1,0,0,0,0,0,0,14,9,2,2,0,0,1,0,0,0,4,0.0,8,8,0,0,15,0,0,0,0,group2_odd,False,0.0,True,0,True,True,True
18,0,Paid,United States,False,1,12,8685,0,1,1,232,2,416,3,13,3,5,24,0,110,416,0,100,53,58,33,5,24,50,45,30,0,0,0,0,130,130,24,23,21,23,21,1,1,4,23,3,1,1,0,2,0,0,0,0,0,0,20,16,2,1,0,0,1,0,0,3,8,0.0,15,15,0,0,40,0,0,0,0,group1_even,False,0.0,True,0,True,True,True
19,0,Organic,Japan,False,1,12,8534,0,1,1,201,2,455,5,0,3,6,2,5,110,405,0,50,64,45,37,6,2,59,45,34,0,0,0,5,130,130,22,21,19,21,19,1,1,4,24,3,1,1,0,2,0,0,0,0,0,0,21,17,2,1,0,0,1,0,0,0,6,0.0,13,13,0,0,40,0,0,0,0,group2_odd,True,0.0,True,1,True,True,True
20,0,Paid,France,False,1,9,3336,0,1,1,70,1,419,4,5,2,1,3,0,1610,319,0,0,39,35,40,1,3,35,30,38,0,0,0,0,130,130,9,9,9,9,9,1,1,4,19,4,1,0,0,1,0,0,0,0,0,0,16,11,2,2,0,0,1,0,0,3,2,0.0,8,8,0,0,40,0,0,0,0,group1_even,False,0.0,True,0,True,True,True
21,0,Organic,United Kingdom,False,1,1,553,0,1,1,0,0,103,15,0,0,0,0,0,10,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
22,0,Organic,Brazil,False,1,1,278,0,1,1,0,0,158,0,0,0,0,0,0,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0.0,1,1,0,0,5,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
23,0,Paid,United Kingdom,False,1,6,5408,0,1,1,145,1,354,0,4,2,2,3,0,4010,304,0,50,12,49,32,2,3,12,45,30,0,0,0,0,130,130,14,14,14,14,14,1,1,4,15,2,1,0,0,1,0,0,0,0,0,0,13,9,2,1,0,0,1,0,0,2,4,0.0,9,9,0,0,40,0,0,0,0,group2_odd,True,0.0,True,1,True,True,False
24,0,Organic,France,False,1,12,7296,0,1,1,195,1,439,1,5,9,2,3,0,10,389,0,50,23,72,53,2,3,22,67,44,0,0,0,0,130,130,19,19,18,19,18,1,1,4,20,3,2,0,0,2,0,0,0,0,0,0,19,15,2,1,0,0,1,0,0,1,8,0.0,13,13,0,0,40,0,0,0,0,group1_even,True,0.0,True,1,True,True,False
25,0,Paid,United States,False,1,5,3667,0,1,1,90,1,400,1,3,3,1,3,5,10,300,0,0,26,24,28,1,3,25,21,25,0,0,0,5,130,130,12,12,11,12,11,1,1,4,14,3,0,0,0,1,0,0,0,0,0,0,14,9,2,2,0,0,1,0,0,3,0,0.0,3,3,0,0,40,0,0,0,0,group2_odd,False,0.0,True,0,True,False,False
26,0,Paid,Japan,False,1,3,2253,0,1,1,15,1,308,2,0,0,1,23,0,10,208,0,0,6,8,8,1,23,4,8,8,0,0,0,0,130,130,7,7,6,7,6,1,1,4,5,1,0,0,0,0,0,0,0,0,0,0,7,4,2,0,0,0,1,0,0,3,0,0.0,3,3,0,0,40,0,0,0,0,group1_even,True,0.0,True,1,True,False,False
27,0,Organic,Serbia,False,1,3,1688,0,1,1,25,1,318,3,1,1,2,0,0,10,218,0,0,11,15,22,2,0,8,14,21,0,0,0,0,90,90,6,6,6,6,6,1,1,4,9,2,0,0,0,0,0,0,0,0,0,0,8,5,2,0,0,0,1,0,0,2,2,0.0,2,2,0,0,15,0,0,0,0,group2_odd,True,0.0,True,1,True,False,False
28,0,Organic,United States,False,1,3,3760,0,1,1,75,1,451,0,6,1,3,4,0,10,351,0,0,29,27,19,3,4,29,21,18,0,0,0,0,90,90,11,11,10,11,10,1,1,4,14,2,1,0,0,1,0,0,0,0,0,0,13,9,2,1,0,0,1,0,0,2,4,0.0,7,7,0,0,15,0,0,0,0,group1_even,False,0.0,True,0,True,True,False
29,0,Paid,United Kingdom,False,1,23,2218,0,1,1,0,0,390,3,3,4,1,3,0,1610,290,0,0,15,17,20,1,3,12,14,16,0,0,0,0,130,130,4,4,4,4,4,1,1,4,10,4,0,0,0,0,0,0,0,0,0,0,10,7,2,0,0,0,1,0,0,3,2,0.0,12,12,0,0,40,0,0,0,0,group2_odd,True,1.0,True,1,True,True,True
30,0,Organic,Serbia,False,1,2,1341,0,1,1,10,1,249,2,1,2,0,23,0,10,149,0,0,2,5,2,0,23,0,4,0,0,0,0,0,90,90,5,5,5,5,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,1,0,0,3,0,0.0,1,1,0,0,15,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
31,0,Paid,United States,False,1,5,1654,0,1,1,0,0,295,3,0,0,2,2,5,10,195,0,0,19,14,14,2,2,16,14,14,0,0,0,5,90,90,3,3,3,3,3,1,1,3,10,4,0,0,0,0,0,0,0,0,0,0,10,7,2,0,0,0,1,0,0,1,1,0.0,6,6,0,0,15,0,0,0,0,group2_odd,False,8.0,True,0,True,False,False
32,0,Paid,Germany,False,1,2,1096,0,1,1,0,0,228,0,1,1,0,1,0,10,128,0,0,22,9,9,0,1,22,8,8,0,0,0,0,130,130,4,4,4,4,4,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0,0,1,0,0,3,0,0.0,2,2,0,0,40,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
33,0,Organic,Germany,False,1,11,9501,0,1,1,250,2,507,0,28,4,2,21,0,10,457,0,50,56,58,55,2,21,56,30,51,0,0,0,0,90,90,27,26,23,26,23,1,1,4,26,5,1,1,0,2,0,0,0,0,0,0,24,20,2,1,0,0,1,0,0,1,2,0.0,14,14,0,0,15,0,0,0,0,group2_odd,False,0.0,True,0,True,True,True
34,0,Paid,France,False,1,1,384,0,1,1,0,0,154,2,1,1,0,20,0,10,54,0,0,2,1,1,0,20,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,0,0.0,0,0,0,0,5,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
35,0,Organic,Serbia,False,1,10,9744,0,1,1,215,2,473,1,12,4,4,2,0,4010,423,0,50,61,42,55,4,2,60,30,51,0,0,0,0,130,130,27,27,22,27,22,1,1,4,25,4,2,0,0,2,0,0,0,0,0,0,20,16,2,1,0,0,1,0,0,2,4,0.0,11,11,0,0,40,0,0,0,0,group2_odd,False,0.0,True,0,True,False,False
36,0,Paid,France,False,1,13,13332,0,1,1,327,2,497,3,27,2,3,2,0,210,447,0,50,75,57,32,3,2,72,30,30,0,0,0,0,130,130,32,31,28,31,28,1,1,4,24,3,1,1,0,2,0,0,0,0,0,0,20,14,4,1,0,0,1,0,0,0,9,0.0,24,24,0,0,40,0,0,0,0,group1_even,True,0.0,True,1,True,True,True
37,0,Organic,Japan,False,1,2,1465,0,1,1,0,0,238,0,2,2,2,22,0,10,138,0,0,4,2,2,2,22,4,0,0,0,0,0,0,90,90,4,4,4,4,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,1,0,0,1,0,0.0,5,5,0,0,15,0,0,0,0,group2_odd,True,2.0,True,1,False,False,False
38,0,Paid,United States,False,1,17,7336,0,1,1,195,1,472,6,13,3,2,2,0,3610,472,0,100,57,58,41,2,2,51,45,38,0,0,0,0,130,130,19,19,18,19,18,1,1,4,24,4,1,1,0,2,0,0,0,0,0,0,22,18,2,1,0,0,1,0,0,2,4,0.0,15,15,0,0,40,0,0,0,0,group1_even,True,0.0,True,1,True,True,True
39,0,Paid,United States,False,1,7,7268,0,1,1,175,1,465,2,13,3,1,3,5,410,365,0,0,46,43,37,1,3,44,30,34,0,0,0,5,90,90,16,16,16,16,16,1,1,4,19,3,1,0,0,2,0,0,0,0,0,0,18,12,4,1,0,0,1,0,0,0,7,0.0,19,19,0,0,15,0,0,0,0,group2_odd,True,0.0,True,1,True,False,False
40,0,Paid,France,False,1,20,12714,0,1,1,335,2,509,8,15,3,4,3,0,910,509,0,100,89,75,38,4,3,81,60,35,0,0,0,0,130,130,33,30,28,30,28,1,1,4,30,5,3,1,0,2,0,0,0,0,0,0,26,22,2,1,0,0,1,0,0,2,9,0.0,19,19,0,0,40,0,0,0,0,group1_even,True,0.0,True,1,True,True,True
41,0,Paid,Germany,False,1,27,25568,0,1,1,629,3,668,4,6,13,6,24,0,12010,768,0,200,100,88,110,6,24,96,82,97,0,0,0,0,430,730,67,64,53,64,53,1,1,4,38,5,3,1,0,2,0,0,0,0,0,0,39,34,3,1,0,0,1,0,0,0,9,0.0,40,40,0,0,40,0,0,0,0,group2_odd,True,0.0,True,1,True,True,True
42,0,Organic,Serbia,False,1,1,775,0,1,1,0,0,154,17,0,1,0,1,0,10,54,0,0,17,0,1,0,1,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0.0,3,3,0,0,5,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
43,0,Paid,United States,False,1,1,715,0,1,1,0,0,199,3,1,3,0,2,0,10,99,0,0,3,1,17,0,2,0,0,14,0,0,0,0,25,25,3,3,3,3,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,2,0,0.0,1,1,0,0,10,0,0,0,0,group2_odd,,,False,0,False,False,False
44,0,Organic,Canada,False,1,7,6990,0,1,1,255,2,610,4,42,2,7,2,0,1610,510,0,0,69,56,40,7,2,65,14,38,0,0,0,0,90,90,23,23,22,23,22,1,1,4,22,4,2,1,0,2,0,0,0,0,0,0,24,18,3,2,0,0,1,0,0,1,2,0.0,6,6,0,0,15,0,0,0,0,group1_even,True,0.0,True,1,True,True,False
45,0,Paid,Germany,False,1,1,504,0,1,1,0,0,150,1,0,3,0,1,0,10,50,0,0,1,0,17,0,1,0,0,14,0,0,0,0,45,45,2,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,0,0.0,0,0,0,0,30,0,0,0,0,group2_odd,,,False,0,False,False,False
46,0,Paid,United States,False,1,2,2144,0,1,1,40,1,375,17,3,22,1,3,0,10,275,0,0,42,11,30,1,3,25,8,8,0,0,0,0,90,90,8,7,7,7,7,1,1,4,9,1,1,0,0,1,0,0,0,0,0,0,12,8,2,1,0,0,1,0,0,1,0,0.0,2,2,0,0,15,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
47,0,Organic,United Kingdom,False,1,3,2912,0,1,1,55,1,463,1,5,1,2,4,0,10,363,0,0,13,35,39,2,4,12,30,38,0,0,0,0,90,90,8,8,8,8,8,1,1,4,15,3,1,0,0,1,0,0,0,0,0,0,15,10,2,2,0,0,1,0,0,3,0,0.0,3,3,0,0,15,0,0,0,0,group2_odd,True,0.0,True,1,True,False,False
48,0,Organic,Serbia,False,1,1,593,0,1,1,0,0,154,15,2,1,0,1,0,10,54,0,0,15,2,1,0,1,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0.0,2,2,0,0,5,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
49,0,Organic,Serbia,False,1,1,474,0,1,1,0,0,152,0,3,1,0,1,0,10,52,0,0,0,17,1,0,1,0,14,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,2,0,0.0,1,1,0,0,0,0,0,0,0,group2_odd,,,False,0,False,False,False
50,0,Organic,Germany,False,1,2,640,0,1,1,0,0,151,1,2,1,0,20,0,10,51,0,0,1,2,1,0,20,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,0,0.0,2,2,0,0,5,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
51,0,Paid,United Kingdom,False,1,4,3650,0,1,1,115,1,415,0,3,1,1,4,5,10,315,0,0,34,17,35,1,4,34,14,34,0,0,0,5,130,130,12,12,12,12,12,1,1,4,15,3,1,0,0,1,0,0,0,0,0,0,14,10,2,1,0,0,1,0,0,1,1,0.0,5,5,0,0,40,0,0,0,0,group2_odd,True,0.0,True,1,True,True,False
52,0,Organic,Brazil,False,1,2,870,0,1,1,0,0,153,16,1,2,0,0,0,10,53,0,0,16,1,2,0,0,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,1,0.0,3,3,0,0,5,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
53,0,Organic,United Kingdom,False,1,1,481,0,1,1,0,0,148,1,2,1,0,0,5,10,48,0,0,1,2,1,0,0,0,0,0,0,0,0,5,45,45,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,2,0,0.0,1,1,0,0,30,0,0,0,0,group2_odd,,,False,0,False,False,False
54,0,Paid,United States,False,1,1,725,0,1,1,0,0,154,0,2,0,1,21,0,10,54,0,0,0,2,0,1,21,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0.0,3,3,0,0,5,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
55,0,Organic,Brazil,False,1,1,795,0,1,1,0,0,146,0,0,2,1,21,0,10,46,0,0,0,0,2,1,21,0,0,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0.0,3,3,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
56,0,Organic,United Kingdom,False,1,1,905,0,1,1,0,0,199,1,2,0,0,1,5,10,99,0,0,1,2,4,0,1,0,0,4,0,0,0,5,25,25,3,3,3,3,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0.0,3,3,0,0,10,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
57,0,Paid,United States,False,1,2,761,0,1,1,0,0,231,2,3,2,1,2,0,10,131,0,0,6,24,10,1,2,4,21,8,0,0,0,0,90,90,4,4,4,4,4,1,1,2,7,2,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0,0,1,0,0,3,0,0.0,0,0,0,0,15,0,0,0,0,group2_odd,,,False,0,False,False,False
58,0,Organic,Japan,False,1,1,906,0,1,1,0,0,149,1,1,2,0,1,0,10,49,0,0,1,15,2,0,1,0,14,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0.0,3,3,0,0,5,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
59,0,Organic,Serbia,False,1,1,751,0,1,1,0,0,193,0,0,1,1,2,5,10,93,0,0,0,4,1,1,2,0,4,0,0,0,0,5,90,90,3,3,3,3,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,2,0,0.0,1,1,0,0,15,0,0,0,0,group2_odd,,,False,0,False,False,False
60,0,Organic,Germany,False,1,3,907,0,1,1,0,0,224,1,2,1,1,1,0,10,124,0,0,9,6,26,1,1,8,4,25,0,0,0,0,90,90,3,3,3,3,3,1,1,2,8,2,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0,0,1,0,0,2,0,0.0,2,2,0,0,15,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
61,0,Organic,Brazil,False,1,14,5061,0,1,1,105,1,415,4,4,4,2,3,5,10,315,0,0,20,34,33,2,3,16,30,29,0,0,0,5,90,90,13,13,12,13,12,1,1,4,15,3,1,0,0,1,0,0,0,0,0,0,15,10,2,2,0,0,1,0,0,1,7,0.0,11,11,0,0,15,0,0,0,0,group2_odd,False,0.0,True,0,True,True,True
62,0,Paid,United States,False,1,1,1164,0,1,1,0,0,196,0,2,1,0,1,5,10,96,0,0,4,2,1,0,1,4,0,0,0,0,0,5,90,90,4,4,4,4,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,1,0,0.0,3,3,0,0,15,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
63,0,Organic,Serbia,False,1,5,5458,0,1,1,105,1,416,4,7,3,2,21,0,210,316,0,0,33,28,28,2,21,29,21,25,0,0,0,0,90,90,15,13,12,13,12,1,1,4,15,3,1,0,0,1,0,0,0,0,0,0,15,9,3,2,0,0,1,0,0,0,4,0.0,10,10,0,0,15,0,0,0,0,group2_odd,True,0.0,True,1,True,False,False
64,0,Paid,United States,False,1,11,6699,0,1,1,155,1,525,0,34,3,2,24,0,1810,425,0,0,29,64,63,2,24,29,30,60,0,0,0,0,130,130,18,18,16,18,16,2,2,14,21,4,1,1,0,2,0,0,0,0,0,0,21,15,4,1,0,0,1,0,0,2,10,0.0,14,14,0,0,40,0,0,0,0,group1_even,True,0.0,True,1,True,True,True
65,0,Organic,Serbia,False,1,1,636,0,1,1,0,0,103,0,0,0,0,0,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
66,0,Organic,Serbia,False,1,10,7522,0,1,1,207,2,498,0,19,3,3,3,5,710,398,0,0,35,49,47,3,3,35,30,44,0,0,0,5,90,90,20,18,18,18,18,1,1,4,20,3,2,0,0,2,0,0,0,0,0,0,19,15,2,1,0,0,1,0,0,1,9,0.0,14,14,0,0,15,0,0,0,0,group1_even,True,0.0,True,1,True,True,True
67,0,Organic,Brazil,False,1,1,331,0,1,1,0,0,106,0,1,0,0,0,0,10,6,0,0,0,15,0,0,0,0,14,0,0,0,0,0,5,5,2,2,2,2,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0.0,0,0,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
